lemma;plautus;cato;cicero;caesar;nepos;catullus;lucretius;vergil;horace;livy;tibullus;propertius;ovid;sallust;seneca;curtius;petronius;persius;juvenal;tacitus;pliny;suetonius;Total
multitudo;0;0;3.89 ;16.17 ;7.2 ;0;0;0;0;10.45 ;0;0;0;7.92 ;0.51 ;5.64 ;0;0;0;3.14 ;0.11 ;1.61 ;56.64
turba;1.32 ;0;0.44 ;0.08 ;0.33 ;0;1.73 ;2.29 ;3.81 ;3.68 ;12.75 ;9.18 ;8.15 ;1.32 ;5.54 ;2.82 ;4.25 ;3.99 ;4.81 ;1.4 ;1.65 ;4.16 ;73.7
vulgus;0;0;0.4 ;0.66 ;4.25 ;1.45 ;1.35 ;1.2 ;2.96 ;1.07 ;3;1.1 ;2.04 ;1.58 ;1.57 ;1.88 ;0.91 ;1.99 ;4.44 ;7.04 ;0.55 ;1.21 ;40.65
